Unidade de Produção,Espécie,Volume Total (m³),Número de Árvores,Preço (R$/m³),Valor Estimado (R$)
AC_108,abacaba,0.053168443944153786,1,600.0,31.901066366492273
AC_108,abiorana branca,0.07530209199254748,1,650.0,48.94635979515586
AC_108,abiorana casca fina,0.11450033816130065,2,650.0,74.42521980484543
AC_108,abiorana vermelha,0.09743507158481961,1,650.0,63.33279653013275
AC_108,angelca amarela,0.08654296360403718,2,700.0,60.580074522826024
AC_108,apui amarelo,0.5766317786681258,1,750.0,432.4738340010943
AC_108,apui miudo,2.2598896489256024,3,750.0,1694.9172366942018
AC_108,araça bravo,0.0621549042164683,1,600.0,37.29294252988098
AC_108,bordao de velho,0.5481057489797125,1,650.0,356.26873683681316
AC_108,breu maxixe,0.3657763808054277,1,600.0,219.46582848325662
AC_108,breu mescla,0.10484843753587945,1,700.0,73.39390627511561
AC_108,burra leiteira,2.3778691869644204,3,650.0,1545.6149715268732
AC_108,cabelo de cutia,0.3371969707636643,1,650.0,219.17803099638178
AC_108,cacaui,0.1729223759939447,2,600.0,103.75342559636681
AC_108,cajarana,4.5010743866237055,1,700.0,3150.752070636594
AC_108,canela de velho,0.04285377761693867,1,650.0,27.854955451010134
AC_108,carapanauba amarela,3.5165974486404847,4,750.0,2637.4480864803636
AC_108,caripe roxo,0.36677365844682214,1,700.0,256.74156091277547
AC_108,caripe vermelho,0.30963883670678927,1,700.0,216.7471856947525
AC_108,castainha,0.07982777147260287,1,650.0,51.888051457191864
AC_108,caucho,1.1931748724831726,1,600.0,715.9049234899036
AC_108,cipo farinha seca,0.08113053819691703,1,600.0,48.678322918150215
AC_108,coaçu,0.24820807288285454,1,650.0,161.33524737385545
AC_108,copaiba amarela,3.269493621533226,1,800.0,2615.594897226581
AC_108,embauba roxa,0.3112996565233028,1,600.0,186.7797939139817
AC_108,envira iodo branca,0.8609911807242153,1,650.0,559.6442674707399
AC_108,envira piaca,1.271476917913619,4,650.0,826.4599966438523
AC_108,espinheiro,2.4146172960426147,1,700.0,1690.2321072298303
AC_108,falso pau brasil,1.1377363406648733,2,750.0,853.302255498655
AC_108,gameleira,9.605460668076562,2,650.0,6243.549434249765
AC_108,gogo de guariba,0.03468525519573581,1,600.0,20.811153117441485
AC_108,guariuba roxa,2.0811556562383813,3,700.0,1456.808959366867
AC_108,imbirindiba amarela,11.10776849963293,6,750.0,8330.826374724698
AC_108,inga vermelha,0.43278173418562493,1,650.0,281.3081272206562
AC_108,jaca brava,0.3169008790107391,2,650.0,205.98557135698042
AC_108,jenipapo,0.06729131186681962,1,700.0,47.103918306773735
AC_108,jito,0.6873853223757751,2,650.0,446.80045954425384
AC_108,jito branco,0.25548661436045705,2,650.0,166.06629933429707
AC_108,jito preto,0.09439371593617188,1,650.0,61.35591535851172
AC_108,jito vermelho,0.06871043817256182,1,600.0,41.2262629035371
AC_108,joao mole caule flora,0.0578327343913065,1,600.0,34.6996406347839
AC_108,jutai,0.258442391589811,1,600.0,155.0654349538866
AC_108,limaozinho,0.10283254222078692,1,650.0,66.84115244351149
