UP;Subunidade;Subparcela;Volume_m3;Num_arvores;Volume_m3_ha;Arvores_ha
AC_111;1;9;3.114066651;8;124.562666;320
AC_111;1;10;1.521057801;3;60.84231204;120
AC_111;1;12;2.121037583;1;84.8415033;40
AC_111;1;13;3.096159257;1;123.8463703;40
AC_111;1;15;1.097770448;1;43.91081791;40
AC_111;1;17;3.248764206;1;129.9505682;40
AC_111;1;20;1.714693067;1;68.58772269;40
AC_111;2;1;5.992203664;9;239.6881466;360
AC_111;2;2;4.18641039;5;167.4564156;200
AC_111;2;3;7.600881303;3;304.0352521;120
AC_111;2;4;5.673944471;9;226.9577788;360
AC_111;2;5;1.018891756;3;40.75567024;120
AC_111;2;6;12.37238682;4;494.8954729;160
AC_111;2;7;0.423713421;1;16.94853686;40
AC_111;2;8;1.040290755;2;41.61163018;80
AC_111;2;9;4.342513109;7;173.7005244;280
AC_111;2;10;5.087369845;7;203.4947938;280
AC_111;2;16;1.794423674;1;71.77694697;40
AC_111;2;18;10.22562801;1;409.0251203;40
AC_111;3;1;7.659138253;2;306.3655301;80
AC_111;3;2;2.751711141;5;110.0684456;200
AC_111;3;3;2.264033036;4;90.56132143;160
AC_111;3;4;2.656884483;6;106.2753793;240
AC_111;3;5;9.991414126;6;399.656565;240
AC_111;3;6;0.388615341;3;15.54461364;120
AC_111;3;7;2.388826122;7;95.55304488;280
AC_111;3;8;5.490415763;9;219.6166305;360
AC_111;3;9;1.606112613;6;64.24450451;240
AC_111;3;10;1.236286721;5;49.45146883;200
AC_111;3;14;5.12016882;2;204.8067528;80
AC_111;3;15;3.653531184;2;146.1412474;80
AC_111;3;19;8.137014135;1;325.4805654;40
AC_111;4;1;8.030788854;7;321.2315542;280
AC_111;4;2;5.903026466;4;236.1210586;160
AC_111;4;3;4.773785584;5;190.9514234;200
AC_111;4;4;1.409381404;5;56.37525617;200
AC_111;4;5;1.671436751;7;66.85747005;280
AC_111;4;6;3.357218692;3;134.2887477;120
AC_111;4;7;0.975105238;5;39.00420951;200
AC_111;4;8;7.74518871;5;309.8075484;200
AC_111;4;9;0.385914903;3;15.43659612;120
AC_111;4;10;10.50191397;4;420.0765589;160
AC_111;4;15;1.657417526;1;66.29670106;40
AC_112;2;4;0.065924544;1;2.636981754;40
AC_112;2;5;0.222608105;5;8.904324208;200
AC_112;2;8;1.667933512;6;66.7173405;240
AC_113;1;1;1.088042133;4;43.52168533;160
AC_113;1;2;0.855081857;3;34.20327427;120
AC_113;1;3;3.368378401;7;134.735136;280
AC_113;1;4;0.882230159;5;35.28920637;200
AC_113;1;5;1.912754868;7;76.51019472;280
AC_113;1;6;0.084058293;1;3.362331727;40
AC_113;1;7;0.680009249;7;27.20036995;280
AC_113;1;8;0.47407641;4;18.96305641;160
AC_113;1;10;4.433308473;3;177.3323389;120
AC_113;1;16;1.784038281;1;71.36153125;40
AC_113;2;1;1.844979784;5;73.79919134;200
AC_113;2;2;0.827378768;5;33.09515072;200
AC_113;2;3;1.837531422;6;73.50125689;240
AC_113;2;4;0.541355621;6;21.65422485;240
AC_113;2;5;1.675531992;5;67.02127968;200
AC_113;2;6;2.612054711;5;104.4821884;200
AC_113;2;7;2.199628163;5;87.98512653;200
AC_113;2;8;0.681175641;3;27.24702563;120
AC_113;2;10;4.152231595;9;166.0892638;360
AC_113;2;16;6.640506046;3;265.6202418;120
AC_113;3;1;5.002025939;5;200.0810376;200
AC_113;3;2;0.626807407;2;25.0722963;80
AC_113;3;3;3.572475868;6;142.8990347;240
AC_113;3;4;1.823918661;7;72.95674645;280
AC_113;3;5;2.305886868;6;92.23547473;240
AC_113;3;6;2.116147093;4;84.64588372;160
AC_113;3;7;1.531774499;2;61.27097997;80
AC_113;3;8;2.982261979;5;119.2904791;200
AC_113;3;9;1.913369782;6;76.53479127;240
AC_113;3;10;2.813773763;7;112.5509505;280
AC_113;3;12;1.618175312;1;64.72701247;40
AC_113;3;14;10.15335632;2;406.1342528;80
AC_113;3;20;4.266702804;2;170.6681121;80
AC_113;4;1;0.895269463;4;35.8107785;160
AC_113;4;2;0.297287552;3;11.89150209;120
AC_113;4;3;0.749888069;7;29.99552276;280
AC_113;4;4;0.425754951;5;17.03019805;200
AC_113;4;5;0.671000879;6;26.84003518;240
